"speciesID","estimate"
1,0.00711562673564374
2,0.00267117234319928
3,0.00203299592732962
4,0.0041709798714654
5,0.0031642542685342
6,0.00526805218806894
7,0.0037751846603304
8,0.00723199358409685
9,0.003125619600683
10,0.00603764965412347
11,0.00803653432103438
12,0.00564649611593216
13,0.00641447904308156
14,0.00455167024814943
15,0.00437041376869984
16,0.00574669480219636
17,0.00163196834604964
18,0.0030858145839001
19,0.00854255948341221
20,0.00461821079621969
21,0.00236327781720332
22,0.00153333306509363
23,0.00634792547296343
24,0.00304971325934299
25,0.00449280956440849
26,0.00324717525595451
27,0.00683518373454885
28,0.00635511536192153
29,0.00609397089831659
30,0.00459318150124849
31,0.00171654612361784
